TIMESTAMP;ID_CAMINHAO;MODO_OPERACAO;POSICAO_X;POSICAO_Y;MENSAGEM_EVENTO
26/11/2025 21:28:28;101;MANUAL;0;0;Monitoramento Periodico - Pos: 1,1
26/11/2025 21:28:28;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,2
26/11/2025 21:28:28;103;MANUAL;0;0;Monitoramento Periodico - Pos: 1,1
26/11/2025 21:28:29;101;MANUAL;0;0;Monitoramento Periodico - Pos: 11,11
26/11/2025 21:28:29;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,22
26/11/2025 21:28:29;103;MANUAL;0;0;Monitoramento Periodico - Pos: 11,11
26/11/2025 21:28:30;101;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
26/11/2025 21:28:30;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:30;103;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
26/11/2025 21:28:31;101;MANUAL;0;0;Monitoramento Periodico - Pos: 31,31
26/11/2025 21:28:31;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:31;103;MANUAL;0;0;Monitoramento Periodico - Pos: 31,31
26/11/2025 21:28:32;101;MANUAL;0;0;Monitoramento Periodico - Pos: 41,41
26/11/2025 21:28:32;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:32;103;MANUAL;0;0;Monitoramento Periodico - Pos: 41,41
26/11/2025 21:28:33;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:33;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:33;103;MANUAL;0;0;Monitoramento Periodico - Pos: 51,51
26/11/2025 21:28:34;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:34;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:34;103;MANUAL;0;0;Monitoramento Periodico - Pos: 61,61
26/11/2025 21:28:35;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:35;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:35;103;MANUAL;0;0;Monitoramento Periodico - Pos: 71,71
26/11/2025 21:28:36;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:36;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:36;103;MANUAL;0;0;Monitoramento Periodico - Pos: 81,81
26/11/2025 21:28:37;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:37;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:37;103;MANUAL;0;0;Monitoramento Periodico - Pos: 91,91
26/11/2025 21:28:38;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:38;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:38;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:28:39;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:39;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:39;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:28:40;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:40;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:40;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:28:41;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:41;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:41;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:28:42;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:28:42;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:28:42;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:29:23;101;MANUAL;0;0;Monitoramento Periodico - Pos: 0,0
26/11/2025 21:29:23;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,2
26/11/2025 21:29:23;103;MANUAL;0;0;Monitoramento Periodico - Pos: 1,1
26/11/2025 21:29:24;101;MANUAL;0;0;Monitoramento Periodico - Pos: 10,10
26/11/2025 21:29:24;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,22
26/11/2025 21:29:24;103;MANUAL;0;0;Monitoramento Periodico - Pos: 11,11
26/11/2025 21:29:25;101;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
26/11/2025 21:29:25;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:25;103;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
26/11/2025 21:29:26;101;MANUAL;0;0;Monitoramento Periodico - Pos: 31,31
26/11/2025 21:29:26;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:26;103;MANUAL;0;0;Monitoramento Periodico - Pos: 31,31
26/11/2025 21:29:27;101;MANUAL;0;0;Monitoramento Periodico - Pos: 41,41
26/11/2025 21:29:27;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:27;103;MANUAL;0;0;Monitoramento Periodico - Pos: 41,41
26/11/2025 21:29:28;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:28;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:28;103;MANUAL;0;0;Monitoramento Periodico - Pos: 51,51
26/11/2025 21:29:29;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:29;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:29;103;MANUAL;0;0;Monitoramento Periodico - Pos: 61,61
26/11/2025 21:29:30;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:30;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:30;103;MANUAL;0;0;Monitoramento Periodico - Pos: 71,71
26/11/2025 21:29:31;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:31;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:31;103;MANUAL;0;0;Monitoramento Periodico - Pos: 81,81
26/11/2025 21:29:32;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:32;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:32;103;MANUAL;0;0;Monitoramento Periodico - Pos: 91,91
26/11/2025 21:29:33;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:33;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:33;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:29:34;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:34;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:34;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:29:35;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:35;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:35;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:29:36;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:36;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:36;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
26/11/2025 21:29:37;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
26/11/2025 21:29:37;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
26/11/2025 21:29:37;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
27/11/2025 18:28:32;101;MANUAL;0;0;Monitoramento Periodico - Pos: 1,1
27/11/2025 18:28:32;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,2
27/11/2025 18:28:32;103;MANUAL;0;0;Monitoramento Periodico - Pos: 1,1
27/11/2025 18:28:33;101;MANUAL;0;0;Monitoramento Periodico - Pos: 11,11
27/11/2025 18:28:33;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,22
27/11/2025 18:28:33;103;MANUAL;0;0;Monitoramento Periodico - Pos: 11,11
27/11/2025 18:28:34;101;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
27/11/2025 18:28:34;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:34;103;MANUAL;0;0;Monitoramento Periodico - Pos: 21,21
27/11/2025 18:28:35;101;MANUAL;0;0;Monitoramento Periodico - Pos: 30,30
27/11/2025 18:28:35;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:35;103;MANUAL;0;0;Monitoramento Periodico - Pos: 31,31
27/11/2025 18:28:36;101;MANUAL;0;0;Monitoramento Periodico - Pos: 40,40
27/11/2025 18:28:36;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:36;103;MANUAL;0;0;Monitoramento Periodico - Pos: 41,41
27/11/2025 18:28:37;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:37;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:37;103;MANUAL;0;0;Monitoramento Periodico - Pos: 51,51
27/11/2025 18:28:38;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:38;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:38;103;MANUAL;0;0;Monitoramento Periodico - Pos: 61,61
27/11/2025 18:28:39;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:39;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:39;103;MANUAL;0;0;Monitoramento Periodico - Pos: 71,71
27/11/2025 18:28:40;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:40;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:40;103;MANUAL;0;0;Monitoramento Periodico - Pos: 81,81
27/11/2025 18:28:41;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:41;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:41;103;MANUAL;0;0;Monitoramento Periodico - Pos: 91,91
27/11/2025 18:28:42;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:42;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:42;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
27/11/2025 18:28:43;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:43;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:43;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
27/11/2025 18:28:44;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:44;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:44;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
27/11/2025 18:28:45;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:45;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:45;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
27/11/2025 18:28:46;101;MANUAL;0;0;Monitoramento Periodico - Pos: 50,50
27/11/2025 18:28:46;102;MANUAL;0;0;Monitoramento Periodico - Pos: 0,40
27/11/2025 18:28:46;103;MANUAL;0;0;Monitoramento Periodico - Pos: 100,100
